"","Personnel.Number","Gender","Hire.Date","Exit.Date","Exit.Reason","Cost.Center","Employee.Group","Employee.Subgroup","Location.Code","Employment.Days","Currently.Employed","Lasted.6.Months","Lasted.1.Year","Lasted.2.Years","Lasted.3.Years","Lasted.4.Years","Lasted.5.Years"
"6785","60046462","Female",2012-08-17,NA,NA,"761175","Employee","Hourly","1011",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6786","60046465","Male",2012-08-20,NA,NA,"205-P838","Employee","Salary Grade Less 12","1019",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6787","60046467","Male",2012-08-20,NA,NA,"7764727","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6788","60046468","Female",2012-08-20,NA,NA,"57-8049","Employee","Nonexempt","1009",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6789","60046469","Male",2012-08-20,NA,NA,"564438","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6790","60046470","Female",2012-08-20,NA,NA,"1862177","Employee","Nonexempt","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6791","60046471","Female",2012-08-20,NA,NA,"1862391","Employee","Salary Grade Less 12","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6792","60046474","Female",2012-08-21,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6793","60046477","Male",2012-08-27,NA,NA,"57-3401","Employee","Salary Grade Less 12","1009",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6794","60046478","Male",2012-08-27,NA,NA,"57-6063","Employee","Salary Grade Less 12","1009",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6795","60046479","Male",2012-08-27,NA,NA,"205-B972","Employee","Salary Grade Less 12","1032",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6796","60046480","Male",2012-08-20,NA,NA,"164455","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6797","60046481","Male",2006-07-31,NA,NA,"205-I614","Employee","Salary Grade Less 12","1075",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6798","60046483","Male",2012-08-20,NA,NA,"6063407","Employee","Salary Grade Less 12","1005",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6799","60046493","Male",2012-08-29,NA,NA,"761175","Employee","Nonexempt","1011",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6800","60046497","Male",2012-09-04,NA,NA,"54-1202","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
